Source,Target,Weight
645699943,1357997268,10
645699943,747138497,10
645699943,38698920,10
645699943,491316304,10
645699943,330120937,10
645699943,415927171,10
645699943,1129117059,10
645699943,517495785,10
645699943,4820653,10
645699943,1986183639,10
645699943,785558556,10
645699943,404514916,10
645699943,952146988,10
645699943,704719370,10
645699943,779088070,10
645699943,970936698,10
645699943,1115716922,10
645699943,215804543,10
645699943,553936501,10
645699943,240147412,10
645699943,38544496,10
645699943,1632812449,10
645699943,2387326311,10
645699943,1321014635,10
645699943,276987394,10
